Date and time,Channel Flow (Cumecs),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = LAKE RIVER BELOW WOODS LAKE DAM
,,,,location = 20M D/S WOODS DAM
24-12-2006 00:00,1.28,unverified data,PrecVal,
25-12-2006 00:00,1.29,unverified data,PrecVal,
26-12-2006 00:00,1.283,unverified data,PrecVal,
27-12-2006 00:00,1.177,unverified data,PrecVal,
28-12-2006 00:00,1.114,unverified data,PrecVal,
29-12-2006 00:00,1.098,unverified data,PrecVal,
30-12-2006 00:00,1.087,unverified data,PrecVal,
31-12-2006 00:00,1.094,unverified data,PrecVal,
01-01-2007 00:00,1.105,unverified data,PrecVal,
02-01-2007 00:00,1.125,unverified data,PrecVal,
03-01-2007 00:00,1.166,unverified data,PrecVal,
04-01-2007 00:00,1.187,unverified data,PrecVal,
05-01-2007 00:00,1.197,unverified data,PrecVal,
06-01-2007 00:00,1.206,unverified data,PrecVal,
07-01-2007 00:00,1.221,unverified data,PrecVal,
08-01-2007 00:00,1.24,unverified data,PrecVal,
09-01-2007 00:00,0.973,unverified data,PrecVal,
10-01-2007 00:00,0.861,unverified data,PrecVal,
11-01-2007 00:00,0.87,unverified data,PrecVal,
12-01-2007 00:00,0.872,unverified data,PrecVal,
13-01-2007 00:00,0.883,unverified data,PrecVal,
14-01-2007 00:00,0.854,unverified data,PrecVal,
15-01-2007 00:00,0.815,unverified data,PrecVal,
16-01-2007 00:00,0.818,unverified data,PrecVal,
17-01-2007 00:00,0.826,unverified data,PrecVal,
18-01-2007 00:00,0.84,unverified data,PrecVal,
19-01-2007 00:00,0.922,unverified data,PrecVal,
20-01-2007 00:00,0.996,unverified data,PrecVal,
21-01-2007 00:00,1.018,unverified data,PrecVal,
22-01-2007 00:00,1.036,unverified data,PrecVal,
23-01-2007 00:00,1.014,unverified data,PrecVal,
24-01-2007 00:00,1.013,unverified data,PrecVal,
25-01-2007 00:00,0.983,unverified data,PrecVal,
26-01-2007 00:00,0.959,unverified data,PrecVal,
27-01-2007 00:00,0.946,unverified data,PrecVal,
28-01-2007 00:00,0.88,unverified data,PrecVal,
29-01-2007 00:00,0.754,unverified data,PrecVal,
30-01-2007 00:00,0.703,unverified data,PrecVal,
31-01-2007 00:00,0.702,unverified data,PrecVal,
01-02-2007 00:00,0.664,unverified data,PrecVal,
02-02-2007 00:00,0.681,unverified data,PrecVal,
03-02-2007 00:00,0.688,unverified data,PrecVal,
04-02-2007 00:00,0.703,unverified data,PrecVal,
05-02-2007 00:00,0.707,unverified data,PrecVal,
06-02-2007 00:00,1.103,unverified data,PrecVal,
07-02-2007 00:00,1.35,unverified data,PrecVal,
08-02-2007 00:00,1.265,unverified data,PrecVal,
09-02-2007 00:00,1.188,unverified data,PrecVal,
10-02-2007 00:00,1.174,unverified data,PrecVal,
11-02-2007 00:00,1.168,unverified data,PrecVal,
12-02-2007 00:00,1.142,unverified data,PrecVal,
13-02-2007 00:00,1.131,unverified data,PrecVal,
14-02-2007 00:00,1.099,unverified data,PrecVal,
15-02-2007 00:00,1.08,unverified data,PrecVal,
16-02-2007 00:00,1.082,unverified data,PrecVal,
17-02-2007 00:00,1.072,unverified data,PrecVal,
18-02-2007 00:00,1.073,unverified data,PrecVal,
19-02-2007 00:00,1.094,unverified data,PrecVal,
20-02-2007 00:00,1.093,unverified data,PrecVal,
21-02-2007 00:00,1.079,unverified data,PrecVal,
22-02-2007 00:00,1.071,unverified data,PrecVal,
23-02-2007 00:00,1.058,unverified data,PrecVal,
24-02-2007 00:00,1.042,unverified data,PrecVal,
25-02-2007 00:00,1.025,unverified data,PrecVal,
26-02-2007 00:00,0.939,unverified data,PrecVal,
27-02-2007 00:00,0.902,unverified data,PrecVal,
28-02-2007 00:00,0.892,unverified data,PrecVal,
01-03-2007 00:00,0.896,unverified data,PrecVal,
02-03-2007 00:00,0.897,unverified data,PrecVal,
03-03-2007 00:00,0.892,unverified data,PrecVal,
04-03-2007 00:00,0.876,unverified data,PrecVal,
05-03-2007 00:00,0.81,unverified data,PrecVal,
06-03-2007 00:00,0.669,unverified data,PrecVal,
07-03-2007 00:00,0.499,unverified data,PrecVal,
08-03-2007 00:00,0.489,unverified data,PrecVal,
09-03-2007 00:00,0.467,unverified data,PrecVal,
10-03-2007 00:00,0.407,unverified data,PrecVal,
11-03-2007 00:00,0.388,unverified data,PrecVal,
12-03-2007 00:00,0.404,unverified data,PrecVal,
13-03-2007 00:00,0.299,unverified data,PrecVal,
14-03-2007 00:00,0.261,unverified data,PrecVal,
15-03-2007 00:00,0.245,unverified data,PrecVal,
16-03-2007 00:00,0.567,unverified data,PrecVal,
17-03-2007 00:00,1.055,unverified data,PrecVal,
18-03-2007 00:00,0.845,unverified data,PrecVal,
19-03-2007 00:00,0.745,unverified data,PrecVal,
20-03-2007 00:00,0.791,unverified data,PrecVal,
21-03-2007 00:00,1.066,unverified data,PrecVal,
22-03-2007 00:00,1.076,unverified data,PrecVal,
23-03-2007 00:00,1.108,unverified data,PrecVal,
24-03-2007 00:00,1.114,unverified data,PrecVal,
25-03-2007 00:00,0.92,unverified data,PrecVal,
26-03-2007 00:00,0.753,unverified data,PrecVal,
27-03-2007 00:00,0.695,unverified data,PrecVal,
28-03-2007 00:00,0.825,unverified data,PrecVal,
29-03-2007 00:00,0.941,unverified data,PrecVal,
30-03-2007 00:00,0.837,unverified data,PrecVal,
31-03-2007 00:00,0.448,unverified data,PrecVal,
01-04-2007 00:00,0.285,unverified data,PrecVal,
02-04-2007 00:00,0.454,unverified data,PrecVal,
03-04-2007 00:00,0.494,unverified data,PrecVal,
04-04-2007 00:00,0.617,unverified data,PrecVal,
05-04-2007 00:00,0.82,unverified data,PrecVal,
06-04-2007 00:00,0.825,unverified data,PrecVal,
07-04-2007 00:00,0.766,unverified data,PrecVal,
08-04-2007 00:00,0.76,unverified data,PrecVal,
09-04-2007 00:00,0.885,unverified data,PrecVal,
10-04-2007 00:00,0.892,unverified data,PrecVal,
11-04-2007 00:00,0.574,unverified data,PrecVal,
12-04-2007 00:00,0.23,unverified data,PrecVal,
13-04-2007 00:00,0.305,unverified data,PrecVal,
14-04-2007 00:00,0.519,unverified data,PrecVal,
15-04-2007 00:00,0.794,unverified data,PrecVal,
16-04-2007 00:00,0.822,unverified data,PrecVal,
17-04-2007 00:00,0.747,unverified data,PrecVal,
18-04-2007 00:00,0.673,unverified data,PrecVal,
19-04-2007 00:00,0.861,unverified data,PrecVal,
20-04-2007 00:00,0.685,unverified data,PrecVal,
21-04-2007 00:00,0.816,unverified data,PrecVal,
22-04-2007 00:00,0.62,unverified data,PrecVal,
23-04-2007 00:00,0.439,unverified data,PrecVal,
24-04-2007 00:00,0.398,unverified data,PrecVal,
25-04-2007 00:00,0.435,unverified data,PrecVal,
26-04-2007 00:00,0.458,unverified data,PrecVal,
27-04-2007 00:00,0.458,unverified data,PrecVal,
28-04-2007 00:00,0.459,unverified data,PrecVal,
29-04-2007 00:00,0.241,unverified data,PrecVal,
30-04-2007 00:00,0.175,unverified data,PrecVal,
01-05-2007 00:00,0.175,unverified data,PrecVal,
02-05-2007 00:00,0.175,unverified data,PrecVal,
03-05-2007 00:00,0.176,unverified data,PrecVal,
04-05-2007 00:00,0.179,unverified data,PrecVal,
05-05-2007 00:00,0.01,unverified data,PrecVal,
06-05-2007 00:00,0,unverified data,PrecVal,
07-05-2007 00:00,0,unverified data,PrecVal,
08-05-2007 00:00,0,unverified data,PrecVal,
09-05-2007 00:00,0,unverified data,PrecVal,
10-05-2007 00:00,0,unverified data,PrecVal,
11-05-2007 00:00,0,unverified data,PrecVal,
12-05-2007 00:00,0,unverified data,PrecVal,
13-05-2007 00:00,0,unverified data,PrecVal,
14-05-2007 00:00,0,unverified data,PrecVal,
15-05-2007 00:00,0,unverified data,PrecVal,
16-05-2007 00:00,0,unverified data,PrecVal,
17-05-2007 00:00,0,unverified data,PrecVal,
18-05-2007 00:00,0,unverified data,PrecVal,
19-05-2007 00:00,0,unverified data,PrecVal,
20-05-2007 00:00,0,unverified data,PrecVal,
21-05-2007 00:00,0,unverified data,PrecVal,
22-05-2007 00:00,0,unverified data,PrecVal,
23-05-2007 00:00,0,unverified data,PrecVal,
24-05-2007 00:00,0,unverified data,PrecVal,
25-05-2007 00:00,0,unverified data,PrecVal,
26-05-2007 00:00,0,unverified data,PrecVal,
27-05-2007 00:00,0,unverified data,PrecVal,
28-05-2007 00:00,0,unverified data,PrecVal,
29-05-2007 00:00,0,unverified data,PrecVal,
30-05-2007 00:00,0,unverified data,PrecVal,
31-05-2007 00:00,0,unverified data,PrecVal,
01-06-2007 00:00,0,unverified data,PrecVal,
02-06-2007 00:00,0,unverified data,PrecVal,
03-06-2007 00:00,0,unverified data,PrecVal,
04-06-2007 00:00,0,unverified data,PrecVal,
05-06-2007 00:00,0,unverified data,PrecVal,
06-06-2007 00:00,0,unverified data,PrecVal,
07-06-2007 00:00,0,unverified data,PrecVal,
08-06-2007 00:00,0,unverified data,PrecVal,
09-06-2007 00:00,0,unverified data,PrecVal,
10-06-2007 00:00,0,unverified data,PrecVal,
11-06-2007 00:00,0,unverified data,PrecVal,
12-06-2007 00:00,0,unverified data,PrecVal,
13-06-2007 00:00,0,unverified data,PrecVal,
14-06-2007 00:00,0,unverified data,PrecVal,
15-06-2007 00:00,0,unverified data,PrecVal,
16-06-2007 00:00,0,unverified data,PrecVal,
17-06-2007 00:00,0,unverified data,PrecVal,
18-06-2007 00:00,0,unverified data,PrecVal,
19-06-2007 00:00,0,unverified data,PrecVal,
20-06-2007 00:00,0,unverified data,PrecVal,
21-06-2007 00:00,0,unverified data,PrecVal,
22-06-2007 00:00,0,unverified data,PrecVal,
23-06-2007 00:00,0,unverified data,PrecVal,
24-06-2007 00:00,0,unverified data,PrecVal,
25-06-2007 00:00,0,unverified data,PrecVal,
26-06-2007 00:00,0,unverified data,PrecVal,
27-06-2007 00:00,0,unverified data,PrecVal,
28-06-2007 00:00,0,unverified data,PrecVal,
29-06-2007 00:00,0,unverified data,PrecVal,
30-06-2007 00:00,0,unverified data,PrecVal,
01-07-2007 00:00,0,unverified data,PrecVal,
02-07-2007 00:00,0,unverified data,PrecVal,
03-07-2007 00:00,0,unverified data,PrecVal,
04-07-2007 00:00,0,unverified data,PrecVal,
05-07-2007 00:00,0,unverified data,PrecVal,
06-07-2007 00:00,0,unverified data,PrecVal,
07-07-2007 00:00,0,unverified data,PrecVal,
08-07-2007 00:00,0,unverified data,PrecVal,
09-07-2007 00:00,0,unverified data,PrecVal,
10-07-2007 00:00,0,unverified data,PrecVal,
11-07-2007 00:00,0,unverified data,PrecVal,
12-07-2007 00:00,0,unverified data,PrecVal,
13-07-2007 00:00,0,unverified data,PrecVal,
14-07-2007 00:00,0,unverified data,PrecVal,
15-07-2007 00:00,0,unverified data,PrecVal,
16-07-2007 00:00,0,unverified data,PrecVal,
17-07-2007 00:00,0,unverified data,PrecVal,
18-07-2007 00:00,0,unverified data,PrecVal,
19-07-2007 00:00,0,unverified data,PrecVal,
20-07-2007 00:00,0,unverified data,PrecVal,
21-07-2007 00:00,0,unverified data,PrecVal,
22-07-2007 00:00,0,unverified data,PrecVal,
23-07-2007 00:00,0,unverified data,PrecVal,
24-07-2007 00:00,0,unverified data,PrecVal,
25-07-2007 00:00,0,unverified data,PrecVal,
26-07-2007 00:00,0,unverified data,PrecVal,
27-07-2007 00:00,0,unverified data,PrecVal,
28-07-2007 00:00,0,unverified data,PrecVal,
29-07-2007 00:00,0,unverified data,PrecVal,
30-07-2007 00:00,0,unverified data,PrecVal,
31-07-2007 00:00,0,unverified data,PrecVal,
01-08-2007 00:00,0,unverified data,PrecVal,
02-08-2007 00:00,0,unverified data,PrecVal,
03-08-2007 00:00,0,unverified data,PrecVal,
04-08-2007 00:00,0,unverified data,PrecVal,
05-08-2007 00:00,0,unverified data,PrecVal,
06-08-2007 00:00,0,unverified data,PrecVal,
07-08-2007 00:00,0,unverified data,PrecVal,
08-08-2007 00:00,0,unverified data,PrecVal,
09-08-2007 00:00,0,unverified data,PrecVal,
10-08-2007 00:00,0,unverified data,PrecVal,
11-08-2007 00:00,0.001,unverified data,PrecVal,
12-08-2007 00:00,0,unverified data,PrecVal,
13-08-2007 00:00,0,unverified data,PrecVal,
14-08-2007 00:00,0,unverified data,PrecVal,
15-08-2007 00:00,0.001,unverified data,PrecVal,
16-08-2007 00:00,0.001,unverified data,PrecVal,
17-08-2007 00:00,0.001,unverified data,PrecVal,
18-08-2007 00:00,0.001,unverified data,PrecVal,
19-08-2007 00:00,0.001,unverified data,PrecVal,
20-08-2007 00:00,0.001,unverified data,PrecVal,
21-08-2007 00:00,0.001,unverified data,PrecVal,
22-08-2007 00:00,0.001,unverified data,PrecVal,
23-08-2007 00:00,0.001,unverified data,PrecVal,
24-08-2007 00:00,0.001,unverified data,PrecVal,
25-08-2007 00:00,0.001,unverified data,PrecVal,
26-08-2007 00:00,0.001,unverified data,PrecVal,
27-08-2007 00:00,0.001,unverified data,PrecVal,
28-08-2007 00:00,0.001,unverified data,PrecVal,
29-08-2007 00:00,0.001,unverified data,PrecVal,
30-08-2007 00:00,0.001,unverified data,PrecVal,
31-08-2007 00:00,0.001,unverified data,PrecVal,
01-09-2007 00:00,0.001,unverified data,PrecVal,
02-09-2007 00:00,0.001,unverified data,PrecVal,
03-09-2007 00:00,0.001,unverified data,PrecVal,
04-09-2007 00:00,0.001,unverified data,PrecVal,
05-09-2007 00:00,0.001,unverified data,PrecVal,
06-09-2007 00:00,0.001,unverified data,PrecVal,
07-09-2007 00:00,0.001,unverified data,PrecVal,
08-09-2007 00:00,0.001,unverified data,PrecVal,
09-09-2007 00:00,0.001,unverified data,PrecVal,
10-09-2007 00:00,0.001,unverified data,PrecVal,
11-09-2007 00:00,0.001,unverified data,PrecVal,
12-09-2007 00:00,0.001,unverified data,PrecVal,
13-09-2007 00:00,0.001,unverified data,PrecVal,
14-09-2007 00:00,0,unverified data,PrecVal,
15-09-2007 00:00,0.001,unverified data,PrecVal,
16-09-2007 00:00,0.001,unverified data,PrecVal,
17-09-2007 00:00,0.001,unverified data,PrecVal,
18-09-2007 00:00,0.001,unverified data,PrecVal,
19-09-2007 00:00,0.001,unverified data,PrecVal,
20-09-2007 00:00,0.001,unverified data,PrecVal,
21-09-2007 00:00,0.001,unverified data,PrecVal,
22-09-2007 00:00,0.001,unverified data,PrecVal,
23-09-2007 00:00,0.001,unverified data,PrecVal,
24-09-2007 00:00,0,unverified data,PrecVal,
25-09-2007 00:00,0.001,unverified data,PrecVal,
26-09-2007 00:00,0.001,unverified data,PrecVal,
27-09-2007 00:00,0,unverified data,PrecVal,
28-09-2007 00:00,0.001,unverified data,PrecVal,
29-09-2007 00:00,0.001,unverified data,PrecVal,
30-09-2007 00:00,0.001,unverified data,PrecVal,
01-10-2007 00:00,0.001,unverified data,PrecVal,
02-10-2007 00:00,0.001,unverified data,PrecVal,
03-10-2007 00:00,0.001,unverified data,PrecVal,
04-10-2007 00:00,0.002,unverified data,PrecVal,
05-10-2007 00:00,0.002,unverified data,PrecVal,
06-10-2007 00:00,0.002,unverified data,PrecVal,
07-10-2007 00:00,0.002,unverified data,PrecVal,
08-10-2007 00:00,0.002,unverified data,PrecVal,
09-10-2007 00:00,0.002,unverified data,PrecVal,
10-10-2007 00:00,0.001,unverified data,PrecVal,
11-10-2007 00:00,0.001,unverified data,PrecVal,
12-10-2007 00:00,0.001,unverified data,PrecVal,
13-10-2007 00:00,0.001,unverified data,PrecVal,
14-10-2007 00:00,0.001,unverified data,PrecVal,
15-10-2007 00:00,0.001,unverified data,PrecVal,
16-10-2007 00:00,0.001,unverified data,PrecVal,
17-10-2007 00:00,0.001,unverified data,PrecVal,
18-10-2007 00:00,0.001,unverified data,PrecVal,
19-10-2007 00:00,0.001,unverified data,PrecVal,
20-10-2007 00:00,0.001,unverified data,PrecVal,
21-10-2007 00:00,0.001,unverified data,PrecVal,
22-10-2007 00:00,0.001,unverified data,PrecVal,
23-10-2007 00:00,0.001,unverified data,PrecVal,
24-10-2007 00:00,0.001,unverified data,PrecVal,
25-10-2007 00:00,0.001,unverified data,PrecVal,
26-10-2007 00:00,0.001,unverified data,PrecVal,
27-10-2007 00:00,0.001,unverified data,PrecVal,
28-10-2007 00:00,0.001,unverified data,PrecVal,
29-10-2007 00:00,0.001,unverified data,PrecVal,
30-10-2007 00:00,0.001,unverified data,PrecVal,
31-10-2007 00:00,0.001,unverified data,PrecVal,
01-11-2007 00:00,0.001,unverified data,PrecVal,
02-11-2007 00:00,0.084,unverified data,PrecVal,
03-11-2007 00:00,0.044,unverified data,PrecVal,
04-11-2007 00:00,0.001,unverified data,PrecVal,
05-11-2007 00:00,0.001,unverified data,PrecVal,
06-11-2007 00:00,0.067,unverified data,PrecVal,
07-11-2007 00:00,0.18,unverified data,PrecVal,
08-11-2007 00:00,0.156,unverified data,PrecVal,
09-11-2007 00:00,0.513,unverified data,PrecVal,
10-11-2007 00:00,0.753,unverified data,PrecVal,
11-11-2007 00:00,0.755,unverified data,PrecVal,
12-11-2007 00:00,0.546,unverified data,PrecVal,
13-11-2007 00:00,0.346,unverified data,PrecVal,
14-11-2007 00:00,0.565,unverified data,PrecVal,
15-11-2007 00:00,0.664,unverified data,PrecVal,
16-11-2007 00:00,0.904,unverified data,PrecVal,
17-11-2007 00:00,1.04,unverified data,PrecVal,
18-11-2007 00:00,1.084,unverified data,PrecVal,
19-11-2007 00:00,1.275,unverified data,PrecVal,
20-11-2007 00:00,1.2,unverified data,PrecVal,
21-11-2007 00:00,1.093,unverified data,PrecVal,
22-11-2007 00:00,0.787,unverified data,PrecVal,
23-11-2007 00:00,0.767,unverified data,PrecVal,
24-11-2007 00:00,0.772,unverified data,PrecVal,
25-11-2007 00:00,0.754,unverified data,PrecVal,
26-11-2007 00:00,1.103,unverified data,PrecVal,
27-11-2007 00:00,0.947,unverified data,PrecVal,
28-11-2007 00:00,1.342,unverified data,PrecVal,
29-11-2007 00:00,1.177,unverified data,PrecVal,
30-11-2007 00:00,1.093,unverified data,PrecVal,
01-12-2007 00:00,0.978,unverified data,PrecVal,
02-12-2007 00:00,1.509,unverified data,PrecVal,
03-12-2007 00:00,2.259,unverified data,PrecVal,
04-12-2007 00:00,2.097,unverified data,PrecVal,
05-12-2007 00:00,1.018,unverified data,PrecVal,
06-12-2007 00:00,1.733,unverified data,PrecVal,
07-12-2007 00:00,2.346,unverified data,PrecVal,
08-12-2007 00:00,1.147,unverified data,PrecVal,
09-12-2007 00:00,1.474,unverified data,PrecVal,
10-12-2007 00:00,1.678,unverified data,PrecVal,
11-12-2007 00:00,0.682,unverified data,PrecVal,
12-12-2007 00:00,1.219,unverified data,PrecVal,
13-12-2007 00:00,1.656,unverified data,PrecVal,
14-12-2007 00:00,1.664,unverified data,PrecVal,
15-12-2007 00:00,1.566,unverified data,PrecVal,
16-12-2007 00:00,1.017,unverified data,PrecVal,
17-12-2007 00:00,0.968,unverified data,PrecVal,
18-12-2007 00:00,1.427,unverified data,PrecVal,
19-12-2007 00:00,1.527,unverified data,PrecVal,
20-12-2007 00:00,1.528,unverified data,PrecVal,
21-12-2007 00:00,1.525,unverified data,PrecVal,
22-12-2007 00:00,1.541,unverified data,PrecVal,
23-12-2007 00:00,0.624,unverified data,PrecVal,
24-12-2007 00:00,0.308,unverified data,PrecVal,
25-12-2007 00:00,0.179,unverified data,PrecVal,
26-12-2007 00:00,0.148,unverified data,PrecVal,
27-12-2007 00:00,0.315,unverified data,PrecVal,
28-12-2007 00:00,0.414,unverified data,PrecVal,
29-12-2007 00:00,0.429,unverified data,PrecVal,
30-12-2007 00:00,0.248,unverified data,PrecVal,
31-12-2007 00:00,0.509,unverified data,PrecVal,
01-01-2008 00:00,0.768,unverified data,PrecVal,
02-01-2008 00:00,0.271,unverified data,PrecVal,
03-01-2008 00:00,0.5,unverified data,PrecVal,
04-01-2008 00:00,0.747,unverified data,PrecVal,
05-01-2008 00:00,0.909,unverified data,PrecVal,
06-01-2008 00:00,0.905,unverified data,PrecVal,
07-01-2008 00:00,0.661,unverified data,PrecVal,
08-01-2008 00:00,0.635,unverified data,PrecVal,
09-01-2008 00:00,0.738,unverified data,PrecVal,
10-01-2008 00:00,0.769,unverified data,PrecVal,
11-01-2008 00:00,0.846,unverified data,PrecVal,
12-01-2008 00:00,0.589,unverified data,PrecVal,
13-01-2008 00:00,0.615,unverified data,PrecVal,
14-01-2008 00:00,0.487,unverified data,PrecVal,
15-01-2008 00:00,0.536,unverified data,PrecVal,
16-01-2008 00:00,0.697,unverified data,PrecVal,
17-01-2008 00:00,1.117,unverified data,PrecVal,
18-01-2008 00:00,1.496,unverified data,PrecVal,
19-01-2008 00:00,1.232,unverified data,PrecVal,
20-01-2008 00:00,1.851,unverified data,PrecVal,
21-01-2008 00:00,2,unverified data,PrecVal,
22-01-2008 00:00,1.83,unverified data,PrecVal,
23-01-2008 00:00,1.83,unverified data,PrecVal,
24-01-2008 00:00,2.044,unverified data,PrecVal,
25-01-2008 00:00,2.178,unverified data,PrecVal,
26-01-2008 00:00,2.294,unverified data,PrecVal,
27-01-2008 00:00,2.443,unverified data,PrecVal,
28-01-2008 00:00,2.348,unverified data,PrecVal,
29-01-2008 00:00,2.044,unverified data,PrecVal,
30-01-2008 00:00,1.757,unverified data,PrecVal,
31-01-2008 00:00,1.63,unverified data,PrecVal,
01-02-2008 00:00,1.657,unverified data,PrecVal,
02-02-2008 00:00,1.64,unverified data,PrecVal,
03-02-2008 00:00,1.641,unverified data,PrecVal,
04-02-2008 00:00,1.662,unverified data,PrecVal,
05-02-2008 00:00,0.637,unverified data,PrecVal,
06-02-2008 00:00,0.002,unverified data,PrecVal,
07-02-2008 00:00,0.001,unverified data,PrecVal,
08-02-2008 00:00,0.001,unverified data,PrecVal,
09-02-2008 00:00,0.222,unverified data,PrecVal,
10-02-2008 00:00,0.624,unverified data,PrecVal,
11-02-2008 00:00,0.616,unverified data,PrecVal,
12-02-2008 00:00,0.614,unverified data,PrecVal,
13-02-2008 00:00,0.619,unverified data,PrecVal,
14-02-2008 00:00,0.768,unverified data,PrecVal,
15-02-2008 00:00,1.028,unverified data,PrecVal,
16-02-2008 00:00,1.016,unverified data,PrecVal,
17-02-2008 00:00,1.018,unverified data,PrecVal,
18-02-2008 00:00,1.019,unverified data,PrecVal,
19-02-2008 00:00,1.02,unverified data,PrecVal,
20-02-2008 00:00,1.014,unverified data,PrecVal,
21-02-2008 00:00,1.018,unverified data,PrecVal,
22-02-2008 00:00,1.014,unverified data,PrecVal,
23-02-2008 00:00,1.035,unverified data,PrecVal,
24-02-2008 00:00,1.051,unverified data,PrecVal,
25-02-2008 00:00,0.999,unverified data,PrecVal,
26-02-2008 00:00,0.944,unverified data,PrecVal,
27-02-2008 00:00,0.928,unverified data,PrecVal,
28-02-2008 00:00,0.947,unverified data,PrecVal,
29-02-2008 00:00,0.934,unverified data,PrecVal,
01-03-2008 00:00,0.976,unverified data,PrecVal,
02-03-2008 00:00,0.991,unverified data,PrecVal,
03-03-2008 00:00,0.984,unverified data,PrecVal,
04-03-2008 00:00,0.986,unverified data,PrecVal,
05-03-2008 00:00,0.993,unverified data,PrecVal,
06-03-2008 00:00,0.989,unverified data,PrecVal,
07-03-2008 00:00,0.988,unverified data,PrecVal,
08-03-2008 00:00,0.787,unverified data,PrecVal,
09-03-2008 00:00,0.71,unverified data,PrecVal,
10-03-2008 00:00,0.708,unverified data,PrecVal,
11-03-2008 00:00,0.707,unverified data,PrecVal,
12-03-2008 00:00,0.704,unverified data,PrecVal,
13-03-2008 00:00,0.709,unverified data,PrecVal,
14-03-2008 00:00,0.695,unverified data,PrecVal,
15-03-2008 00:00,0.677,unverified data,PrecVal,
16-03-2008 00:00,0.685,unverified data,PrecVal,
17-03-2008 00:00,0.683,unverified data,PrecVal,
18-03-2008 00:00,0.684,unverified data,PrecVal,
19-03-2008 00:00,0.695,unverified data,PrecVal,
20-03-2008 00:00,0.698,unverified data,PrecVal,
21-03-2008 00:00,0.706,unverified data,PrecVal,
22-03-2008 00:00,0.706,unverified data,PrecVal,
23-03-2008 00:00,0.695,unverified data,PrecVal,
24-03-2008 00:00,0.692,unverified data,PrecVal,
25-03-2008 00:00,0.696,unverified data,PrecVal,
26-03-2008 00:00,0.698,unverified data,PrecVal,
27-03-2008 00:00,0.703,unverified data,PrecVal,
28-03-2008 00:00,0.709,unverified data,PrecVal,
29-03-2008 00:00,0.111,unverified data,PrecVal,
30-03-2008 00:00,0,unverified data,PrecVal,
31-03-2008 00:00,0,unverified data,PrecVal,
01-04-2008 00:00,0,unverified data,PrecVal,
02-04-2008 00:00,0.29,unverified data,PrecVal,
03-04-2008 00:00,0.932,unverified data,PrecVal,
04-04-2008 00:00,0.943,unverified data,PrecVal,
05-04-2008 00:00,0.9,unverified data,PrecVal,
06-04-2008 00:00,0.891,unverified data,PrecVal,
07-04-2008 00:00,0.884,unverified data,PrecVal,
08-04-2008 00:00,0.882,unverified data,PrecVal,
09-04-2008 00:00,0.528,unverified data,PrecVal,
10-04-2008 00:00,0.297,unverified data,PrecVal,
11-04-2008 00:00,0.295,unverified data,PrecVal,
12-04-2008 00:00,0.295,unverified data,PrecVal,
13-04-2008 00:00,0.294,unverified data,PrecVal,
14-04-2008 00:00,0.295,unverified data,PrecVal,
15-04-2008 00:00,0.292,unverified data,PrecVal,
16-04-2008 00:00,0.287,unverified data,PrecVal,
17-04-2008 00:00,0.288,unverified data,PrecVal,
18-04-2008 00:00,0.286,unverified data,PrecVal,
19-04-2008 00:00,0.286,unverified data,PrecVal,
20-04-2008 00:00,0.289,unverified data,PrecVal,
21-04-2008 00:00,0.288,unverified data,PrecVal,
22-04-2008 00:00,0.284,unverified data,PrecVal,
23-04-2008 00:00,0.279,unverified data,PrecVal,
24-04-2008 00:00,0.279,unverified data,PrecVal,
25-04-2008 00:00,0.281,unverified data,PrecVal,
26-04-2008 00:00,0.283,unverified data,PrecVal,
27-04-2008 00:00,0.283,unverified data,PrecVal,
28-04-2008 00:00,0.281,unverified data,PrecVal,
29-04-2008 00:00,0.277,unverified data,PrecVal,
30-04-2008 00:00,0.273,unverified data,PrecVal,
01-05-2008 00:00,0.272,unverified data,PrecVal,
02-05-2008 00:00,0.272,unverified data,PrecVal,
03-05-2008 00:00,0.052,unverified data,PrecVal,
