Date and time,Channel Flow (Cumecs),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = LAKE RIVER BELOW WOODS LAKE DAM
,,,,location = 20M D/S WOODS DAM
20-08-1999 00:00,0.002,unverified data,PrecVal,
21-08-1999 00:00,0.001,unverified data,PrecVal,
22-08-1999 00:00,0.001,unverified data,PrecVal,
23-08-1999 00:00,0,unverified data,PrecVal,
24-08-1999 00:00,0,unverified data,PrecVal,
25-08-1999 00:00,0,unverified data,PrecVal,
26-08-1999 00:00,0,unverified data,PrecVal,
27-08-1999 00:00,0,unverified data,PrecVal,
28-08-1999 00:00,0,unverified data,PrecVal,
29-08-1999 00:00,0,unverified data,PrecVal,
30-08-1999 00:00,0,unverified data,PrecVal,
31-08-1999 00:00,0,unverified data,PrecVal,
01-09-1999 00:00,0.001,unverified data,PrecVal,
02-09-1999 00:00,0,unverified data,PrecVal,
03-09-1999 00:00,0,unverified data,PrecVal,
04-09-1999 00:00,0,unverified data,PrecVal,
05-09-1999 00:00,0,unverified data,PrecVal,
06-09-1999 00:00,0.002,unverified data,PrecVal,
07-09-1999 00:00,0.003,unverified data,PrecVal,
08-09-1999 00:00,0.003,unverified data,PrecVal,
09-09-1999 00:00,0.003,unverified data,PrecVal,
10-09-1999 00:00,0.004,unverified data,PrecVal,
11-09-1999 00:00,0.004,unverified data,PrecVal,
12-09-1999 00:00,0.004,unverified data,PrecVal,
13-09-1999 00:00,0.003,unverified data,PrecVal,
14-09-1999 00:00,0.003,unverified data,PrecVal,
15-09-1999 00:00,0.003,unverified data,PrecVal,
16-09-1999 00:00,0.003,unverified data,PrecVal,
17-09-1999 00:00,0.003,unverified data,PrecVal,
18-09-1999 00:00,0.005,unverified data,PrecVal,
19-09-1999 00:00,0.006,unverified data,PrecVal,
20-09-1999 00:00,0.006,unverified data,PrecVal,
21-09-1999 00:00,0.006,unverified data,PrecVal,
22-09-1999 00:00,0.006,unverified data,PrecVal,
23-09-1999 00:00,0.006,unverified data,PrecVal,
24-09-1999 00:00,0.006,unverified data,PrecVal,
25-09-1999 00:00,0.005,unverified data,PrecVal,
26-09-1999 00:00,0.005,unverified data,PrecVal,
27-09-1999 00:00,0.004,unverified data,PrecVal,
28-09-1999 00:00,0.003,unverified data,PrecVal,
29-09-1999 00:00,0.003,unverified data,PrecVal,
30-09-1999 00:00,0.003,unverified data,PrecVal,
01-10-1999 00:00,0.004,unverified data,PrecVal,
02-10-1999 00:00,0.004,unverified data,PrecVal,
03-10-1999 00:00,0.004,unverified data,PrecVal,
04-10-1999 00:00,0.005,unverified data,PrecVal,
05-10-1999 00:00,0.005,unverified data,PrecVal,
06-10-1999 00:00,0.006,unverified data,PrecVal,
07-10-1999 00:00,0.005,unverified data,PrecVal,
08-10-1999 00:00,0.005,unverified data,PrecVal,
09-10-1999 00:00,0.005,unverified data,PrecVal,
10-10-1999 00:00,0.005,unverified data,PrecVal,
11-10-1999 00:00,0.007,unverified data,PrecVal,
12-10-1999 00:00,0.01,unverified data,PrecVal,
13-10-1999 00:00,0.01,unverified data,PrecVal,
