"surveyPoint","easting","northing","depth","sp","cover"
"J09",500000,5.3412e+006,2.8,"P. orchreatus",15
"J10",500250,5.3412e+006,2.8,"Charophytes",3
"J10",500250,5.3412e+006,2.8,"Elodea",100
"J10",500250,5.3412e+006,2.8,"P. orchreatus",25
"J11",500500,5.3412e+006,3,"Charophytes",3
"J11",500500,5.3412e+006,3,"Elodea",60
"J11",500500,5.3412e+006,3,"P. orchreatus",25
"J12",500750,5.3412e+006,3.1,"Charophytes",5
"J12",500750,5.3412e+006,3.1,"Elodea",75
"J12",500750,5.3412e+006,3.1,"P. orchreatus",5
"J13",501000,5.3412e+006,3.2,"Elodea",90
"J13",501000,5.3412e+006,3.2,"P. orchreatus",5
"J14",501250,5.3412e+006,3,"Elodea",90
"J14",501250,5.3412e+006,3,"P. orchreatus",4
"J15",501500,5.3412e+006,3.3,"Elodea",100
"J15",501500,5.3412e+006,3.3,"P. orchreatus",10
"J16",501750,5.3412e+006,3.1,"Elodea",100
"J16",501750,5.3412e+006,3.1,"P. orchreatus",4
"J17",502000,5.3412e+006,1.9,"Elodea",10
"J17",502000,5.3412e+006,1.9,"P. orchreatus",1
"K05",499000,5.34095e+006,1.3,"Charophytes",2
"K05",499000,5.34095e+006,1.3,"Elodea",80
"K06",499250,5.34095e+006,1.8,"Charophytes",80
"K06",499250,5.34095e+006,1.8,"Elodea",5
"K07",499500,5.34095e+006,2.5,"Elodea",50
"K07",499500,5.34095e+006,2.5,"Charophytes",80
"K07",499500,5.34095e+006,2.5,"P. orchreatus",2
"K08",499750,5.34095e+006,2.7,"Elodea",75
"K08",499750,5.34095e+006,2.7,"Charophytes",40
"K08",499750,5.34095e+006,2.7,"P. orchreatus",5
"K09",500000,5.34095e+006,2.8,"Elodea",80
"K09",500000,5.34095e+006,2.8,"Charophytes",50
"K09",500000,5.34095e+006,2.8,"P. orchreatus",30
"K10",500250,5.34095e+006,3,"Elodea",70
"K10",500250,5.34095e+006,3,"Charophytes",25
"K10",500250,5.34095e+006,3,"P. orchreatus",15
"K11",500500,5.34095e+006,3.1,"Elodea",60
"K11",500500,5.34095e+006,3.1,"Charophytes",10
"K11",500500,5.34095e+006,3.1,"P. orchreatus",25
"K12",500750,5.34095e+006,3.1,"Elodea",100
"K12",500750,5.34095e+006,3.1,"P. orchreatus",25
"K13",501000,5.34095e+006,3.3,"Elodea",90
"K13",501000,5.34095e+006,3.3,"P. orchreatus",10
"K14",501250,5.34095e+006,2.9,"Elodea",95
"K14",501250,5.34095e+006,2.9,"P. orchreatus",10
"K15",501500,5.34095e+006,3.2,"Elodea",95
"K15",501500,5.34095e+006,3.2,"P. orchreatus",25
"K16",501750,5.34095e+006,2.9,"Charophytes",2
"K16",501750,5.34095e+006,2.9,"Elodea",95
"K16",501750,5.34095e+006,2.9,"P. orchreatus",2
"L06",499250,5.3407e+006,1,"Charophytes",10
"L06",499250,5.3407e+006,1,"Elodea",10
"L07",499500,5.3407e+006,2.4,"Elodea",20
