,Params.Name,Params.Units
174,Sample bottles,units
175,Sulphate - Total as SO4,mg/l
176,Suspended Solids - Total (TSS),mg/l
177,Transparency - Secchi,Metres
178,Turbidity,NTU/FNU
179,Turbidity Filtered,FTU
180,Unidentified Chrysophyte,cells/mL
181,Unidentified chlorophyte,cells/mL
182,Unidentified filamentous cyanobacteria,cells/mL
183,Unidentified phytoflagellate,cells/mL
184,Unidentified pico cyanobacteria,cells/mL
185,Unidentified round green cells,cells/mL
186,Unidentified uniflagellate,cells/mL
187,Water Surface Conditions,
188,Water Temperature,Degrees C
189,Wave Height,Metres
190,Wind Direction Estimate,Degrees
191,Wind Speed,Knots
192,Wind speed estimate,Beaufort
193,Zinc - Total/NonFilt as Zn,mg/l
194,pH field,
