Date and time,Dissolved Oxygen (DO %) (Percent Saturation),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = WOODS LAKE
,,,,location = WHMS W1 - IFC W1
,,,,latitude =  -42:04:52.1
,,,,longitude =  146:59:07.8
,,,,Property = Dissolved Oxygen (DO %)
27-01-2009 00:00,91.88542,unverified data,PrecVal,
28-01-2009 00:00,92.67917,unverified data,PrecVal,
29-01-2009 00:00,93.5625,unverified data,PrecVal,
30-01-2009 00:00,92.58125,unverified data,PrecVal,
31-01-2009 00:00,93.05417,unverified data,PrecVal,
01-02-2009 00:00,95.39792,unverified data,PrecVal,
02-02-2009 00:00,93.51042,unverified data,PrecVal,
03-02-2009 00:00,91.63958,unverified data,PrecVal,
04-02-2009 00:00,91.38125,unverified data,PrecVal,
05-02-2009 00:00,91.76875,unverified data,PrecVal,
06-02-2009 00:00,91.83333,unverified data,PrecVal,
07-02-2009 00:00,91.70833,unverified data,PrecVal,
08-02-2009 00:00,90.37708,unverified data,PrecVal,
09-02-2009 00:00,89.64375,unverified data,PrecVal,
10-02-2009 00:00,89.13542,unverified data,PrecVal,
11-02-2009 00:00,88.7,unverified data,PrecVal,
12-02-2009 00:00,88.98542,unverified data,PrecVal,
13-02-2009 00:00,88.97083,unverified data,PrecVal,
14-02-2009 00:00,89.77917,unverified data,PrecVal,
15-02-2009 00:00,90.49792,unverified data,PrecVal,
16-02-2009 00:00,92.21875,unverified data,PrecVal,
17-02-2009 00:00,91.175,unverified data,PrecVal,
18-02-2009 00:00,91.50208,unverified data,PrecVal,
19-02-2009 00:00,91.18333,unverified data,PrecVal,
20-02-2009 00:00,91.09583,unverified data,PrecVal,
21-02-2009 00:00,91.83542,unverified data,PrecVal,
22-02-2009 00:00,91.00417,unverified data,PrecVal,
23-02-2009 00:00,90.92917,unverified data,PrecVal,
24-02-2009 00:00,90.07917,unverified data,PrecVal,
