Date and time,Conductivity @ TRef 25 (uS/cm (25 TRef)),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = WOODS LAKE
,,,,location = WHMS W1 - IFC W1
23-10-2008 00:00,,missing data,PrecVal,
24-10-2008 00:00,,missing data,PrecVal,
25-10-2008 00:00,,missing data,PrecVal,
26-10-2008 00:00,,missing data,PrecVal,
27-10-2008 00:00,,missing data,PrecVal,
28-10-2008 00:00,,missing data,PrecVal,
29-10-2008 00:00,,missing data,PrecVal,
30-10-2008 00:00,,missing data,PrecVal,
31-10-2008 00:00,,missing data,PrecVal,
01-11-2008 00:00,,missing data,PrecVal,
02-11-2008 00:00,,missing data,PrecVal,
03-11-2008 00:00,,missing data,PrecVal,
04-11-2008 00:00,,missing data,PrecVal,
05-11-2008 00:00,,missing data,PrecVal,
06-11-2008 00:00,,missing data,PrecVal,
07-11-2008 00:00,,missing data,PrecVal,
08-11-2008 00:00,,missing data,PrecVal,
09-11-2008 00:00,,missing data,PrecVal,
10-11-2008 00:00,,missing data,PrecVal,
11-11-2008 00:00,,missing data,PrecVal,
12-11-2008 00:00,,missing data,PrecVal,
13-11-2008 00:00,,missing data,PrecVal,
14-11-2008 00:00,,missing data,PrecVal,
15-11-2008 00:00,,missing data,PrecVal,
16-11-2008 00:00,,missing data,PrecVal,
17-11-2008 00:00,,missing data,PrecVal,
18-11-2008 00:00,,missing data,PrecVal,
19-11-2008 00:00,,missing data,PrecVal,
20-11-2008 00:00,,missing data,PrecVal,
21-11-2008 00:00,,missing data,PrecVal,
22-11-2008 00:00,,missing data,PrecVal,
23-11-2008 00:00,,missing data,PrecVal,
24-11-2008 00:00,,missing data,PrecVal,
25-11-2008 00:00,,missing data,PrecVal,
26-11-2008 00:00,,missing data,PrecVal,
27-11-2008 00:00,,missing data,PrecVal,
28-11-2008 00:00,,missing data,PrecVal,
29-11-2008 00:00,,missing data,PrecVal,
30-11-2008 00:00,,missing data,PrecVal,
01-12-2008 00:00,,missing data,PrecVal,
02-12-2008 00:00,,missing data,PrecVal,
03-12-2008 00:00,,missing data,PrecVal,
04-12-2008 00:00,,missing data,PrecVal,
05-12-2008 00:00,,missing data,PrecVal,
06-12-2008 00:00,,missing data,PrecVal,
07-12-2008 00:00,,missing data,PrecVal,
08-12-2008 00:00,,missing data,PrecVal,
09-12-2008 00:00,,missing data,PrecVal,
10-12-2008 00:00,,missing data,PrecVal,
11-12-2008 00:00,,missing data,PrecVal,
12-12-2008 00:00,,missing data,PrecVal,
13-12-2008 00:00,,missing data,PrecVal,
14-12-2008 00:00,,missing data,PrecVal,
15-12-2008 00:00,,missing data,PrecVal,
16-12-2008 00:00,,missing data,PrecVal,
17-12-2008 00:00,,missing data,PrecVal,
18-12-2008 00:00,,missing data,PrecVal,
19-12-2008 00:00,,missing data,PrecVal,
20-12-2008 00:00,,missing data,PrecVal,
21-12-2008 00:00,,missing data,PrecVal,
22-12-2008 00:00,,missing data,PrecVal,
23-12-2008 00:00,,missing data,PrecVal,
24-12-2008 00:00,,missing data,PrecVal,
25-12-2008 00:00,59.03,unverified data,PrecVal,
26-12-2008 00:00,58.93,unverified data,PrecVal,
27-12-2008 00:00,59.1,unverified data,PrecVal,
28-12-2008 00:00,59.1,unverified data,PrecVal,
29-12-2008 00:00,59.29,unverified data,PrecVal,
30-12-2008 00:00,59.25,unverified data,PrecVal,
31-12-2008 00:00,59.33,unverified data,PrecVal,
01-01-2009 00:00,59.19,unverified data,PrecVal,
02-01-2009 00:00,59.2,unverified data,PrecVal,
03-01-2009 00:00,59.22,unverified data,PrecVal,
04-01-2009 00:00,59.09,unverified data,PrecVal,
05-01-2009 00:00,59.32,unverified data,PrecVal,
06-01-2009 00:00,59.44,unverified data,PrecVal,
07-01-2009 00:00,59.59,unverified data,PrecVal,
08-01-2009 00:00,59.88,unverified data,PrecVal,
09-01-2009 00:00,59.89,unverified data,PrecVal,
10-01-2009 00:00,59.89,unverified data,PrecVal,
11-01-2009 00:00,60.05,unverified data,PrecVal,
12-01-2009 00:00,60.27,unverified data,PrecVal,
13-01-2009 00:00,60.43,unverified data,PrecVal,
14-01-2009 00:00,60.55,unverified data,PrecVal,
15-01-2009 00:00,60.79,unverified data,PrecVal,
16-01-2009 00:00,61.02,unverified data,PrecVal,
17-01-2009 00:00,60.92,unverified data,PrecVal,
18-01-2009 00:00,60.73,unverified data,PrecVal,
19-01-2009 00:00,61.06,unverified data,PrecVal,
20-01-2009 00:00,61.18,unverified data,PrecVal,
21-01-2009 00:00,61.37,unverified data,PrecVal,
22-01-2009 00:00,61.53,unverified data,PrecVal,
23-01-2009 00:00,61.58,unverified data,PrecVal,
24-01-2009 00:00,61.51,unverified data,PrecVal,
25-01-2009 00:00,61.54,unverified data,PrecVal,
26-01-2009 00:00,61.64,unverified data,PrecVal,
27-01-2009 00:00,61.87,unverified data,PrecVal,
28-01-2009 00:00,62.05,unverified data,PrecVal,
29-01-2009 00:00,62.21,unverified data,PrecVal,
30-01-2009 00:00,62.39,unverified data,PrecVal,
31-01-2009 00:00,62.71,unverified data,PrecVal,
01-02-2009 00:00,63.01,unverified data,PrecVal,
02-02-2009 00:00,63.18,unverified data,PrecVal,
03-02-2009 00:00,63.05,unverified data,PrecVal,
04-02-2009 00:00,63.07,unverified data,PrecVal,
05-02-2009 00:00,63.24,unverified data,PrecVal,
06-02-2009 00:00,63.42,unverified data,PrecVal,
07-02-2009 00:00,63.52,unverified data,PrecVal,
08-02-2009 00:00,63.6,unverified data,PrecVal,
09-02-2009 00:00,63.63,unverified data,PrecVal,
10-02-2009 00:00,63.66,unverified data,PrecVal,
11-02-2009 00:00,63.69,unverified data,PrecVal,
12-02-2009 00:00,63.68,unverified data,PrecVal,
13-02-2009 00:00,63.69,unverified data,PrecVal,
14-02-2009 00:00,63.76,unverified data,PrecVal,
15-02-2009 00:00,63.77,unverified data,PrecVal,
16-02-2009 00:00,63.98,unverified data,PrecVal,
17-02-2009 00:00,64,unverified data,PrecVal,
18-02-2009 00:00,64.2,unverified data,PrecVal,
19-02-2009 00:00,64.32,unverified data,PrecVal,
20-02-2009 00:00,64.47,unverified data,PrecVal,
21-02-2009 00:00,64.38,unverified data,PrecVal,
22-02-2009 00:00,64.17,unverified data,PrecVal,
23-02-2009 00:00,64.24,unverified data,PrecVal,
24-02-2009 00:00,64.43,unverified data,PrecVal,
25-02-2009 00:00,64.25,unverified data,PrecVal,
26-02-2009 00:00,64.01,unverified data,PrecVal,
27-02-2009 00:00,64.19,unverified data,PrecVal,
28-02-2009 00:00,64.3,unverified data,PrecVal,
01-03-2009 00:00,64.34,unverified data,PrecVal,
02-03-2009 00:00,64.34,unverified data,PrecVal,
03-03-2009 00:00,64.48,unverified data,PrecVal,
04-03-2009 00:00,64.42,unverified data,PrecVal,
05-03-2009 00:00,64,unverified data,PrecVal,
06-03-2009 00:00,63.21,unverified data,PrecVal,
07-03-2009 00:00,63.19,unverified data,PrecVal,
08-03-2009 00:00,63.37,unverified data,PrecVal,
09-03-2009 00:00,63.18,unverified data,PrecVal,
10-03-2009 00:00,63.41,unverified data,PrecVal,
11-03-2009 00:00,63.52,unverified data,PrecVal,
12-03-2009 00:00,63.58,unverified data,PrecVal,
13-03-2009 00:00,63.82,unverified data,PrecVal,
14-03-2009 00:00,63.95,unverified data,PrecVal,
15-03-2009 00:00,63.94,unverified data,PrecVal,
16-03-2009 00:00,63.78,unverified data,PrecVal,
17-03-2009 00:00,63.48,unverified data,PrecVal,
18-03-2009 00:00,63.62,unverified data,PrecVal,
19-03-2009 00:00,63.71,unverified data,PrecVal,
20-03-2009 00:00,63.7,unverified data,PrecVal,
21-03-2009 00:00,63.81,unverified data,PrecVal,
22-03-2009 00:00,63.91,unverified data,PrecVal,
23-03-2009 00:00,64.01,unverified data,PrecVal,
24-03-2009 00:00,64.06,unverified data,PrecVal,
25-03-2009 00:00,64.17,unverified data,PrecVal,
26-03-2009 00:00,64.31,unverified data,PrecVal,
27-03-2009 00:00,64.13,unverified data,PrecVal,
28-03-2009 00:00,,missing data,PrecVal,
29-03-2009 00:00,,missing data,PrecVal,
30-03-2009 00:00,,missing data,PrecVal,
31-03-2009 00:00,,missing data,PrecVal,
01-04-2009 00:00,,missing data,PrecVal,
02-04-2009 00:00,,missing data,PrecVal,
03-04-2009 00:00,,missing data,PrecVal,
04-04-2009 00:00,63.87,unverified data,PrecVal,
05-04-2009 00:00,63.79,unverified data,PrecVal,
06-04-2009 00:00,63.72,unverified data,PrecVal,
07-04-2009 00:00,63.59,unverified data,PrecVal,
08-04-2009 00:00,63.47,unverified data,PrecVal,
09-04-2009 00:00,63.5,unverified data,PrecVal,
10-04-2009 00:00,63.54,unverified data,PrecVal,
11-04-2009 00:00,63.61,unverified data,PrecVal,
12-04-2009 00:00,63.76,unverified data,PrecVal,
13-04-2009 00:00,63.79,unverified data,PrecVal,
14-04-2009 00:00,63.84,unverified data,PrecVal,
15-04-2009 00:00,63.85,unverified data,PrecVal,
16-04-2009 00:00,63.65,unverified data,PrecVal,
17-04-2009 00:00,63.4,unverified data,PrecVal,
18-04-2009 00:00,63.49,unverified data,PrecVal,
19-04-2009 00:00,63.54,unverified data,PrecVal,
20-04-2009 00:00,63.42,unverified data,PrecVal,
21-04-2009 00:00,63.55,unverified data,PrecVal,
22-04-2009 00:00,63.58,unverified data,PrecVal,
23-04-2009 00:00,63.63,unverified data,PrecVal,
24-04-2009 00:00,63.63,unverified data,PrecVal,
25-04-2009 00:00,63.61,unverified data,PrecVal,
26-04-2009 00:00,63.43,unverified data,PrecVal,
27-04-2009 00:00,63.18,unverified data,PrecVal,
28-04-2009 00:00,62.71,unverified data,PrecVal,
29-04-2009 00:00,62.87,unverified data,PrecVal,
30-04-2009 00:00,62.8,unverified data,PrecVal,
01-05-2009 00:00,62.72,unverified data,PrecVal,
02-05-2009 00:00,62.74,unverified data,PrecVal,
03-05-2009 00:00,62.74,unverified data,PrecVal,
04-05-2009 00:00,62.82,unverified data,PrecVal,
05-05-2009 00:00,62.82,unverified data,PrecVal,
06-05-2009 00:00,62.82,unverified data,PrecVal,
07-05-2009 00:00,62.68,unverified data,PrecVal,
08-05-2009 00:00,62.8,unverified data,PrecVal,
09-05-2009 00:00,62.82,unverified data,PrecVal,
10-05-2009 00:00,62.85,unverified data,PrecVal,
11-05-2009 00:00,63.02,unverified data,PrecVal,
12-05-2009 00:00,63.34,unverified data,PrecVal,
13-05-2009 00:00,63.05,unverified data,PrecVal,
14-05-2009 00:00,62.86,unverified data,PrecVal,
15-05-2009 00:00,62.77,unverified data,PrecVal,
16-05-2009 00:00,62.73,unverified data,PrecVal,
17-05-2009 00:00,62.32,unverified data,PrecVal,
18-05-2009 00:00,62.21,unverified data,PrecVal,
19-05-2009 00:00,62.29,unverified data,PrecVal,
20-05-2009 00:00,62.39,unverified data,PrecVal,
21-05-2009 00:00,62.37,unverified data,PrecVal,
22-05-2009 00:00,62.34,unverified data,PrecVal,
23-05-2009 00:00,62.35,unverified data,PrecVal,
24-05-2009 00:00,62.39,unverified data,PrecVal,
25-05-2009 00:00,62.23,unverified data,PrecVal,
26-05-2009 00:00,62.14,unverified data,PrecVal,
27-05-2009 00:00,62.11,unverified data,PrecVal,
28-05-2009 00:00,61.86,unverified data,PrecVal,
29-05-2009 00:00,61.53,unverified data,PrecVal,
30-05-2009 00:00,61.55,unverified data,PrecVal,
31-05-2009 00:00,61.58,unverified data,PrecVal,
01-06-2009 00:00,61.54,unverified data,PrecVal,
02-06-2009 00:00,61.76,unverified data,PrecVal,
03-06-2009 00:00,61.71,unverified data,PrecVal,
04-06-2009 00:00,61.64,unverified data,PrecVal,
05-06-2009 00:00,61.4,unverified data,PrecVal,
06-06-2009 00:00,61.17,unverified data,PrecVal,
07-06-2009 00:00,61.06,unverified data,PrecVal,
08-06-2009 00:00,61.06,unverified data,PrecVal,
09-06-2009 00:00,60.94,unverified data,PrecVal,
10-06-2009 00:00,60.83,unverified data,PrecVal,
11-06-2009 00:00,60.65,unverified data,PrecVal,
12-06-2009 00:00,60.7,unverified data,PrecVal,
13-06-2009 00:00,60.92,unverified data,PrecVal,
14-06-2009 00:00,60.76,unverified data,PrecVal,
15-06-2009 00:00,60.59,unverified data,PrecVal,
16-06-2009 00:00,60.56,unverified data,PrecVal,
17-06-2009 00:00,60.65,unverified data,PrecVal,
18-06-2009 00:00,60.67,unverified data,PrecVal,
19-06-2009 00:00,60.62,unverified data,PrecVal,
20-06-2009 00:00,60.59,unverified data,PrecVal,
21-06-2009 00:00,60.75,unverified data,PrecVal,
