Rating Table 130.00 Water Level (Metres) to 130.02 Surface Area (Square kilometres)
Steps: 
	1) Rating(462.1 WOODS LAKE [AT DAM]; 130.02 Surface Area (Square kilometres); R1; Grp 0)
	Water Level (m)	     +0.00	     +0.01	     +0.02	     +0.03	     +0.04	     +0.05	     +0.06	     +0.07	     +0.08	     +0.09
	     733.1	          	          	          	          	          	          	    6.945X	    6.970X	    6.994X	    7.018X
	     733.2	    7.043X	    7.067X	    7.091X	    7.115X	    7.140X	    7.164X	    7.188X	    7.212X	    7.236X	    7.260X
	     733.3	    7.284X	    7.308X	    7.331X	    7.355X	    7.379X	    7.402X	    7.426X	    7.449X	    7.473X	    7.496X
	     733.4	    7.519X	    7.542X	    7.565X	    7.588X	    7.611X	    7.633X	    7.656X	    7.678X	    7.701X	    7.723X
	     733.5	    7.745X	    7.767X	    7.789X	    7.811X	    7.833X	    7.855X	    7.877X	    7.899X	    7.921X	    7.943X
	     733.6	    7.965X	    7.987X	    8.008X	    8.030X	    8.052X	    8.074X	    8.096X	    8.118X	    8.140X	    8.162X
	     733.7	    8.183X	    8.205X	    8.227X	    8.249X	    8.271X	    8.293X	    8.315X	    8.336X	    8.358X	    8.380X
	     733.8	    8.402X	    8.424X	    8.446X	    8.467X	    8.489X	    8.511X	    8.533X	    8.555X	    8.577X	    8.598X
	     733.9	    8.620X	    8.642X	    8.664X	    8.686X	    8.708X	    8.730X	    8.752X	    8.773X	    8.795X	    8.817X
	     737.8	   12.644 	   12.647 	   12.650 	   12.653 	   12.657 	   12.660 	   12.663 	   12.666 	   12.670 	   12.673 
	     737.9	   12.676 	   12.679 	   12.682 	   12.686 	   12.689 	   12.692 	   12.695 	   12.698 	   12.701 	   12.704 
	     738.0	   12.707 	   12.710 	   12.713 	   12.716 	   12.720 	   12.723 	   12.726 	   12.729 	   12.732 	   12.735 
	     738.1	   12.738 	   12.741 	   12.744 	   12.747 	   12.750 	   12.753 	   12.756 	   12.759 	   12.762 	   12.765 
	     738.2	   12.768 	   12.771 	   12.774 	   12.777 	   12.780 	   12.783 	   12.786 	   12.789 	   12.792 	   12.795 
	     738.3	   12.798 	   12.801 	   12.804 	   12.807 	   12.810 	   12.813 	   12.816 	   12.819 	   12.822 	   12.825 
	     738.4	   12.828 	   12.831 	   12.834 	   12.837 	   12.840 	   12.843 	   12.846 	   12.849 	   12.852 	   12.855 
	     738.5	   12.858 	   12.861 	   12.864 	   12.867 	   12.870 	   12.873 	   12.876 	   12.879 	   12.882 	   12.885 
	     738.6	   12.888 	   12.891 	   12.894 	   12.897 	   12.900 	   12.903 	   12.906 	   12.909 	   12.912 	   12.915 
	     738.7	   12.918 	   12.921 	   12.924 	   12.927 	   12.930 	   12.933 	   12.935 	   12.938 	   12.941 	   12.944 
	     738.8	   12.947 	   12.950 	   12.953 	   12.956 	   12.959 	   12.962 	   12.965 	   12.968 	   12.971 	   12.974 
	     738.9	   12.977 	   12.980 	   12.983 	   12.986 	   12.989 	   12.992 	   12.995 	   12.998 	   13.001 	   13.004 
	     739.0	   13.007 	   13.010 	   13.013 	   13.016 	   13.019 	   13.022 	   13.025 	   13.028 	   13.031 	   13.034 
	     739.1	   13.036 	   13.039 	   13.042 	   13.045 	   13.048 	   13.051 	   13.054 	   13.057 	   13.060 	   13.063 
	     739.2	   13.066 	   13.069 	   13.072 	   13.075 	   13.078 	   13.081 	   13.084 	   13.087 	   13.090 	   13.093 
	     739.3	   13.096 	   13.099 	   13.102 	   13.105 	   13.108 	   13.111 	   13.114 	   13.116 	   13.119 	   13.122 
	     739.4	   13.125 	   13.128 	   13.131 	   13.134 	   13.137 	   13.140 	   13.143 	   13.146 	   13.149 	   13.152 
	     739.5	   13.155 	   13.158 	   13.161 	   13.164 	   13.167 	   13.170 	   13.173 	   13.176 	   13.179 	   13.182 
	     739.6	   13.185 	   13.188 	   13.190 	   13.193 	   13.196 	   13.199 	   13.202 	   13.205 	   13.208 	   13.211 
	     739.7	   13.214 	   13.217 	   13.220 	   13.223 	   13.226 	   13.229 	   13.232 	   13.235 	   13.238 	   13.241 
	     739.8	   13.244 	   13.247 	   13.250 	   13.253 	   13.256 	   13.259 	   13.262 	   13.265 	   13.268 	   13.271 
	     739.9	   13.274 	   13.277 	   13.280 	   13.283 	   13.286 	   13.289 	   13.292 	   13.295 	   13.298 	   13.301 
	     740.0	   13.304 	   13.306 	   13.309 	   13.312 	   13.315 	   13.318 	   13.322 	   13.325 	   13.328 	   13.331 
	     740.1	   13.334 	   13.337 	   13.340 	   13.343 	   13.346 	   13.349 	   13.352 	   13.355 	   13.358 	   13.361 
	     740.2	   13.364 	   13.367 	   13.370 	   13.373 	   13.376 	   13.379 	   13.382 	   13.386 	   13.389 	   13.392 
	     740.3	   13.395 	   13.398 	   13.401 	   13.404 	   13.407 	   13.410 	   13.413 	   13.417 	   13.420 	   13.423 
	     740.4	   13.426 	   13.429 	   13.432 	   13.435 	   13.438 	   13.441 	   13.445 	   13.448 	   13.451 	   13.454 
	     740.5	   13.457 	   13.460 	   13.463 	   13.466 	   13.470 	   13.473 	   13.476 	   13.479 	   13.482 	   13.485 
	     740.6	   13.488 	   13.492 	   13.495 	   13.498 	   13.501 	   13.504 	   13.507 	   13.511 	   13.514 	   13.517 
	     740.7	   13.520 
